RuleUrn,InflectionClasses,Ending,Person,Number,Tense,Mood,Voice
verbinfl.w_aor_opt1,w_regular,aimi,1st,sg,aor,opt,act
verbinfl.w_aor_opt1b,w_pp1,aimi,1st,sg,aor,opt,act
verbinfl.w_aor_opt2,w_regular,ais,2nd,sg,aor,opt,act
verbinfl.w_aor_opt2b,w_pp1,ais,2nd,sg,aor,opt,act
verbinfl.w_aor_opt3,w_regular,ai,3rd,sg,aor,opt,act
verbinfl.w_aor_opt3b,w_pp1,ai|,3rd,sg,aor,opt,act

verbinfl.w_aor_opt4,w_regular,aiton,2nd,dual,aor,opt,act
verbinfl.w_aor_opt4b,w_pp1,aiton,2nd,dual,aor,opt,act
verbinfl.w_aor_opt5,w_regular,aithn,3rd,dual,aor,opt,act
verbinfl.w_aor_opt5b,w_pp1,aithn,3rd,dual,aor,opt,act

verbinfl.w_aor_opt6,w_regular,aimen,1st,pl,aor,opt,act
verbinfl.w_aor_opt6b,w_pp1,aimen,1st,pl,aor,opt,act
verbinfl.w_aor_opt7,w_regular,aite,2nd,pl,aor,opt,act
verbinfl.w_aor_opt7b,w_pp1,aite,2nd,pl,aor,opt,act
verbinfl.w_aor_opt8,w_regular,aien,3rd,pl,aor,opt,act
verbinfl.w_aor_opt8b,w_pp1,aien,3rd,pl,aor,opt,act
verbinfl.w_aor_opt8c,w_regular,eian,3rd,pl,aor,opt,act
verbinfl.w_aor_opt8d,w_pp1,eian,3rd,pl,aor,opt,act


verbinfl.w_aor_opt9,w_regular,aimhn,1st,sg,aor,opt,mid
verbinfl.w_aor_opt9b,w_pp1,aimhn,1st,sg,aor,opt,mid
verbinfl.w_aor_opt10,w_regular,aio,2nd,sg,aor,opt,mid
verbinfl.w_aor_opt10b,w_pp1,aio,2nd,sg,aor,opt,mid
verbinfl.w_aor_opt11,w_regular,aito,3rd,sg,aor,opt,mid
verbinfl.w_aor_opt11b,w_pp1,aito,3rd,sg,aor,opt,mid

verbinfl.w_aor_opt12,w_regular,aisqon,2nd,dual,aor,opt,mid
verbinfl.w_aor_opt12b,w_pp1,aisqon,2nd,dual,aor,opt,mid
verbinfl.w_aor_opt13,w_regular,aisqhn,3rd,dual,aor,opt,mid
verbinfl.w_aor_opt13b,w_pp1,aisqhn,3rd,dual,aor,opt,mid

verbinfl.w_aor_opt14,w_regular,aimeqa,1st,pl,aor,opt,mid
verbinfl.w_aor_opt14b,w_pp1,aimeqa,1st,pl,aor,opt,mid
verbinfl.w_aor_opt15,w_regular,aisqe,2nd,pl,aor,opt,mid
verbinfl.w_aor_opt15b,w_pp1,aisqe,2nd,pl,aor,opt,mid
verbinfl.w_aor_opt16,w_regular,ainto,3rd,pl,aor,opt,mid
verbinfl.w_aor_opt16b,w_pp1,ainto,3rd,pl,aor,opt,mid




verbinfl.w_aor_opt7,w_regular,eihn,1st,sg,aor,opt,pass
verbinfl.w_aor_opt7b,w_pp1,eihn,1st,sg,aor,opt,pass
verbinfl.w_aor_opt18,w_regular,eihs,2nd,sg,aor,opt,pass
verbinfl.w_aor_opt17b,w_pp1,eihs,2nd,sg,aor,opt,pass
verbinfl.w_aor_opt19,w_regular,eih,3rd,sg,aor,opt,pass
verbinfl.w_aor_opt19b,w_pp1,eih,3rd,sg,aor,opt,pass

verbinfl.w_aor_opt20,w_regular,eihton,2nd,dual,aor,opt,pass
verbinfl.w_aor_opt20b,w_pp1,eihton,2nd,dual,aor,opt,pass
verbinfl.w_aor_opt20c,w_regular,ei=ton,2nd,dual,aor,opt,pass
verbinfl.w_aor_opt20d,w_pp1,ei=ton,2nd,dual,aor,opt,pass

verbinfl.w_aor_opt21,w_regular,ei=thn,3rd,dual,aor,opt,pass
verbinfl.w_aor_opt21b,w_pp1,ei=thn,3rd,dual,aor,opt,pass
verbinfl.w_aor_opt21c,w_regular,eihthn,3rd,dual,aor,opt,pass
verbinfl.w_aor_opt21d,w_pp1,eihthn,3rd,dual,aor,opt,pass




verbinfl.w_aor_opt22,w_regular,ei=men,1st,pl,aor,opt,pass
verbinfl.w_aor_opt22b,w_pp1,ei=men,1st,pl,aor,opt,pass
verbinfl.w_aor_opt22c,w_regular,eihmen,1st,pl,aor,opt,pass
verbinfl.w_aor_opt22d,w_pp1,eihmen,1st,pl,aor,opt,pass


verbinfl.w_aor_opt23,w_regular,ei=te,2nd,pl,aor,opt,pass
verbinfl.w_aor_opt23b,w_pp1,ei=te,2nd,pl,aor,opt,pass
verbinfl.w_aor_opt23c,w_regular,eihte,2nd,pl,aor,opt,pass
verbinfl.w_aor_opt23d,w_pp1,eihte,2nd,pl,aor,opt,pass

verbinfl.w_aor_opt24,w_regular,ei=en,3rd,pl,aor,opt,pass
verbinfl.w_aor_opt24b,w_pp1,ei=en,3rd,pl,aor,opt,pass
verbinfl.w_aor_opt24,w_regular,eihsan,3rd,pl,aor,opt,pass
verbinfl.w_aor_opt24b,w_pp1,eihsan,3rd,pl,aor,opt,pass
